year,Singer(s),Singer,Lyricist,Composer,Lyrics,Music,Artist(s)
1934,,Lalita Devulkar,,,,,
1934,,Sabita Devi,,,,,
1934,,K. C. Dey,,,,,
1934,,Jal Merchant,,,,,
1934,,Jal Merchant,,,,,
1934,,Lalita Devulkar,,,,,
1934,,Sabita Devi,,,,,
1934,,,,,,,
1934,,Jal Merchant,,,,,
1934,,,,,,,
1934,,,,,,,
1935,,,,,,,
1935,,,,,,,
1935,,,,,,,
1935,,,,,,,
1935,,,,,,,
1935,,,,,,,
1935,,,,,,,
1935,,,,,,,
1935,,,,,,,
1935,,,,,,,
1935,,,,,,,
1935,,,,,,,
1935,,,,,,,
1935,,,,,,,
1935,,,,,,,
1935,,,,,,,
1935,,,,,,,
1935,,,,,,,
1935,,,,,,,
1935,,,,,,,
1935,,,,,,,
1935,,,,,,,
1935,,,,,,,
1935,,,,,,,
1935,,,,,,,
1935,,,,,,,
1935,,,,,,,
1935,,,,,,,
1935,,,,,,,
1935,,,,,,,
1935,,,,,,,
1935,,,,,,,
1935,,,,,,,
1935,,,,,,,
1935,,,,,,,
1935,,,,,,,
1935,,,,,,,
1935,,,,,,,
1935,,,,,,,
1935,,,,,,,
1935,,,,,,,
1935,,,,,,,
1935,,,,,,,
1935,,,,,,,
1935,,,,,,,
1935,,,,,,,
1935,,,,,,,
1935,,Sureshbabu Mane,,,,,
1935,,,,,,,
1935,,Rajni,,,,,
1935,,Nalini Tarkhud,,,,,
1935,,Sureshbabu Mane,,,,,
1935,,Buwa Saheb,,,,,
1935,,Sureshbabu Mane,,,,,
1935,,,,,,,
1935,,Sureshbabu Mane,,,,,
1935,,Nalini Tarkhud,,,,,
1935,,Rajni,,,,,
1935,,Rajni,,,,,
1935,,,,,,,
1935,,,,,,,
1935,,,,,,,
1935,,,,,,,
1935,,,,,,,
1935,,,,,,,
1935,,,,,,,
1935,,,,,,,
1935,,,,,,,
1935,,,,,,,
1935,,,,,,,
1935,,,,,,,
1935,,,,,,,
1935,,,,,,,
1935,,,,,,,
1935,,,,,,,
1935,,,,,,,
1935,,,,,,,
1935,,,,,,,
1935,,,,,,,
1935,,,,,,,
1935,,,,,,,
1935,,,,,,,
1935,,,,,,,
1935,,,,,,,
1935,,,,,,,
1935,,,,,,,
1935,,,,,,,
1935,,,,,,,
1935,,,,,,,
1935,,Vasant Desai,,,,,
1935,,Bal Gandharva,,,,,
1935,,Ratnaprabha,,,,,
1935,,Bal Gandharva,,,,,
1935,,Vasanti,,,,,
1935,,Ratnaprabha,,,,,
1935,,Ratnaprabha,,,,,
1935,,Bal Gandharva,,,,,
1935,,Bal Gandharva,,,,,
1935,,Master Chhotu,,,,,
1935,,Vasanti,,,,,
1935,,Bal Gandharva,,,,,
1935,,Bal Gandharva,,,,,
1935,,Bal Gandharva,,,,,
1935,,Bal Gandharva,,,,,
1935,,Ratnaprabha,,,,,
1935,,,,,,,
1935,,,,,,,
1935,,,,,,,
1935,,,,,,,
1935,,,,,,,
1935,,,,,,,
1935,,,,,,,
1935,,,,,,,
1935,,,,,,,
1935,,,,,,,
1935,,,,,,,
1935,,,,,,,
1935,,,,,,,
1935,,,,,,,
1935,,,,,,,
1935,,,,,,,
1935,,,,,,,
1935,,,,,,,
1935,,,,,,,
1935,,,,,,,
1935,,,,,,,
1935,,,,,,,
1935,,,,,,,
1935,,,,,,,
1935,,,,,,,
1935,,,,,,,
1935,,,,,,,
1935,,,,,,,
1935,,,,,,,
1935,,,,,,,
1935,,,,,,,
1935,,,,,,,
1935,,,,,,,
1935,,,,,,,
1935,,,,,,,
1935,,,,,,,
1935,,,,,,,
1935,,,,,,,
1935,,,,,,,
1935,,,,,,,
1935,,,,,,,
1935,,,,,,,
1935,,,,,,,
1935,,,,,,,
1935,,,,,,,
1935,,,,,,,
1935,,,,,,,
1935,,,,,,,
1935,,,,,,,
1935,,,,,,,
1935,,,,,,,
1935,,,,,,,
1935,,,,,,,
1935,,,,,,,
1935,,,,,,,
1935,,,,,,,
1935,,,,,,,
1935,,,,,,,
1935,,,,,,,
1935,,K. L. Saigal,,,,,
1935,,K. L. Saigal,,,,,
1935,,"K. L. Saigal, Pahari Sanyal",,,,,
1935,,Pahari Sanyal,,,,,
1935,,K. L. Saigal,,,,,
1935,,,,,,,
1935,,,,,,,
1935,,,,,,,
1935,,,,,,,
1935,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,Vasanti,,,,,
1936,,"B.Nandrekar, Shanta Apte",,,,,
1936,,Shanta Apte,,,,,
1936,,Vasant Desai,,,,,
1936,,Durga Khote,,,,,
1936,,Vasant Desai,,,,,
1936,,"Vasanti, Durga Khote",,,,,
1936,,Vasanti,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,Shanta Apte,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,Surendra,,,,,
1936,,Surendra,,,,,
1936,,Ramchandra Pal,,,,,
1936,,Surendra,,,,,
1936,,Ramchandra Pal,,,,,
1936,,"Surendra, Aruna Devi",,,,,
1936,,Ramchandra Pal,,,,,
1936,,,,,,,
1936,,"Surendra, Aruna Devi",,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,Motilal,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,Motilal,,,,,
1936,,Kamala Devi,,,,,
1936,,Motilal,,,,,
1936,,Motilal,,,,,
1936,,,,,,,
1936,,Shobhana Samarth,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,Sabita Devi,,,,,
1936,,Sabita Devi,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
